brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
UNDER ARMOUR,Tênis Masculino E Feminino Charged Slight 3 Under Armour,359,99,304,99,4.9,(275)
NIKE,Tênis Nike Revolution 7 Masculino,369,99,35,87,4.7,(1031)
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,139,90,13,60,4.2,(612)
OLYMPIKUS,Tênis Olympikus Masculino Zex Original - Confortável,229,99,180,97,4.8,(71)
THE NORTH FACE,Tênis Esportivo Masculino Truckee The North Face,949,90,94,99,,
SKECHERS,Tênis Masculino Bountiful Skechers,299,99,266,99,,
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,78,90,74,95,4.2,(237)
BF SHOES,Tênis Branco Masculino Para Academia Esportivo Bf Shoes,78,90,74,95,4.8,(68)
,Tênis Bolsonaro : Liberdade Style Super Confortável ,169,90,33,98,4.8,(165)
OLYMPIKUS,Tênis Masculino Metro Olympikus *oferta*,259,99,206,99,4.8,(787)
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,139,90,132,90,4.2,(641)
REEBOK,Tênis Masculino Levante Trail 2 Reebok Novo,549,99,436,99,4.9,(36)
OLYMPIKUS,Tênis Masculino Metro Olympikus *oferta*,259,99,206,99,4.8,(787)
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,147,99,4.8,(1655)
OLYMPIKUS,Tenis Olympikus Triunfo 3  Masculino 43290314-arenit,229,44,22,30,5.0,(4)
,Tênis Masculino Esportivo Super Leve Envio Imediato,77,90,25,97,4.6,(85)
OLYMPIKUS,Olympikus CORRIDA Voa 2 Masculino Adultos,299,99,259,90,4.8,(546)
ADIDAS,Tênis Masculino Corrida E Trilha Tracefinder Azul adidas,399,99,318,99,5.0,(4)
FILA,Tenis Fila Original Racer Comet Masculino Corrida Academia ,362,49,268,25,4.7,(38)
WM,Tenis Revelation Masculino Feminino Promoção Pronta Entrega,109,99,98,99,4.5,(153)
TAYGRA,Taygra Tenis Dança Conforto Original - Grafite + Brinde,179,05,170,01,4.8,(24)
MIZUNO,Mizuno Wave Vitality 4 Masculino Adultos,379,90,37,99,4.7,(193)
REEBOK,Tênis Masculino Levante Trail 2 Reebok Novo,549,99,436,99,4.9,(36)
PLAZA,Kit 4 Pares Tênis Masculino Casual Academia Caminhada Atacad,289,90,32,21,4.3,(448)
,Tênis Masculino Esportivo Academia Advanced Solado Extraleve,219,90,149,53,4.7,(42)
BAD FISH,Tênis Track Sapatilha Bad Fish Adventure Pesca Rosa Preto ,204,99,19,93,4.8,(93)
OLYMPIKUS,Tenis Masculino Corrida Olimpicos Soma Amortecedor Impacto,225,90,21,96,4.6,(243)
EVERLAST,Tênis Everlast Bunker Treino Academia Caminhada Corrida Leve,239,90,147,25,4.5,(22)
MARATHON,Tênis Esportivo Academia Marathon Max Ok Anti Impacto Leve,299,90,107,96,4.4,(87)
ADIDAS,Tênis adidas Masculino Response Runner U - Original,399,99,40,,4.4,(39)
ESTILO SHOES,Tenis Masculino Academia Caminhada Corrida Estilo Shoes,78,49,26,16,4.0,(2)
REEBOK,Tenis Reebok Nfx Trainer Masculino 100033330,499,44,369,59,4.4,(7)
ADAPTION,Tênis Masculino Leve Confortável Casual Adaption Limited,59,90,19,97,4.3,(41)
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,49,10,64,4.5,(2542)
OLYMPIKUS,Tênis Masculino E Feminino Dynamic Azul Olympikus,279,99,236,99,4.8,(649)
OLYMPIKUS,Olympikus Casual Noventa Masculino Adultos,279,99,212,79,4.7,(1041)
ADIDAS,Tênis adidas Corrida Galaxy 7,399,90,39,99,,
OLYMPIKUS,Tênis Masculino Versa Com Sola Caixa Olympikus,259,99,219,99,4.8,(961)
EVER WAY,Tênis Caminhada Corrida  Macio Confortável Academia Fitness,119,90,88,72,4.8,(22)
OLYMP,Tênis Lançamento Kit 2 Pares Mega Olymp Promoção Sport#,143,90,35,98,4.4,(175)
,Tênis Preto Otimo P/ Dia A Dia Leve Confortavel Academia,49,99,16,66,4.3,(271)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,58,45,4.4,(2738)
,Sapatilha Híbrida Aquática Pesca Neoprene Trilha Bike Praia,53,67,17,,4.6,(275)
,Tênis Yezy 350 Masculino- Promoção,299,90,33,32,4.7,(13)
OLYMPIKUS,Olympikus Poseidon Masculino Adultos,167,90,159,50,4.7,(726)
ASCENSION,Tênis Masculino Para Academia Caminhada Corrida Cross ,109,33,36,,4.6,(8)
OLYMPIKUS,Olympikus CORRIDA Veloz 2 Masculino Adultos,299,99,218,99,4.8,(269)
ASICS,Tênis Asics Novablast 4 Le Masculino,999,90,99,99,,
ADRUN,Tênis Leve Masculino Lançamento Adrun Leve Calce Fácil 9710m,129,99,32,50,4.1,(17)
OLYMPIKUS,Tênis Olympikus Eros Casual Original Adulto Branco Unissex ,237,49,182,99,4.8,(63)
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,200,74,4.6,(424)
,Tênis Meia Masculino E Feminino Unicc Lançamento,81,90,27,30,4.7,(105)
MARATHON,Tênis Marathon Free 33y Masculino Adultos 312 - Esportivo,78,90,7,67,3.3,(9)
LORENZZO LOPEZ,Tenis Masculino Caminha E Academia Super Leve Na Promoção,39,90,3,87,4.3,(42)
DM DAMANDO,Tenis Masculino Esportivo Academia Confortavel Crossfit Leve,82,90,8,06,5.0,(7)
UNDER ARMOUR,Tênis Masculino Charged Great Under Armour,299,99,253,99,4.8,(116)
,Tenis Olympikus Dynamic Masculino Esportivo  Original,254,90,24,71,4.8,(1498)
LORENZZO LOPEZ,Tenis Masculino Caminha E Academia Super Leve Na Promoção,39,90,3,87,4.3,(42)
,Tênis Número Especial Esportivo Corrida E Academia 44-48,149,90,128,91,4.3,(79)
OLYMPIKUS,Tênis Olympikus Venum Masculino Corrida - Caminhada,255,44,31,93,4.8,(6)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,133,25,33,,4.7,(3061)
RAYCONN,Tenis 4 Molas Masculino Corrida Caminhada Running Original,186,95,164,51,4.3,(78)
DM DAMANDO,Tenis Masculino Esportivo Academia Confortavel Crossfit Leve,82,90,8,06,5.0,(7)
ADIDAS,Tênis adidas Masculino Response Runner U - Original,399,99,40,,4.4,(39)
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.4,(1275)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,90,137,65,4.5,(439)
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,139,90,13,60,4.2,(612)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,90,137,65,4.5,(439)
,Tênis Masculino Caminhada Academia Esportivo Origina Fxb 515,69,90,66,40,4.5,(282)
NB,Tênis Masculino N&b 997s Reverl Absordb Sport Lançamento,204,99,19,93,4.4,(44)
OLDSEN,Tênis Masculino Para Correr Caminhar Colorado Oferta Barato ,78,90,63,12,4.2,(880)
OLYMPIKUS,Tênis Olympikus Voa 2 Corrida Marinho - Masculino,249,99,24,30,,
OLYMPIKUS,Olympikus Corre 3 3 Sem gênero Adultos,499,99,50,,4.9,(401)
,Tênis Unissex Para Academia Confortável Leve Corrida Oferta,51,90,45,60,4.7,(6)
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,134,90,33,72,4.6,(74)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,199,90,33,32,4.4,(32)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,259,11,25,,4.7,(74)
MIZUNO,Tênis Mizuno Masculino 12s Leve E Confortável!,339,97,166,58,4.3,(265)
EVERLAST,Tenis Everlast Monster 3 Ref. Seua172 Marinho/azul,264,35,33,04,,
,Sapatênis Ranster Masculino Couro Legítimo Azul Confort,209,90,20,40,4.8,(20)
,Kit 2 Pares De Tenis Esportivo Feminino Masculino,159,45,15,,4.7,(26)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,209,90,34,98,4.7,(17)
POLO JOY,Combo 2 Pares Tenis Masculino Polo Joy Casual Slip On Iate,169,90,16,51,4.6,(396)
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,49,90,4,84,4.7,(69)
OLYMPIKUS,Tênis Olympikus Neblina Masculino,279,90,31,10,4.6,(55)
SIX STREET,Tênis Six Street Infinity  Esporte Basquete Corrida Original,298,90,33,21,5.0,(1)
MIZUNO,Tênis Mizuno Masculino Prophecy 9 Flor De Lotus Caminhada,219,90,31,41,,
,Kit 2 Pares Tênis Masculino Academia Lançamento  Fxb 515,159,90,31,98,4.4,(295)
OLYMPIKUS,Tênis Olympikus Diffuse 4 Preto E Dourado,200,85,33,48,4.7,(82)
OLYMPIKUS,Olympikus Corre Trilha Sem gênero Adultos,599,90,443,92,5.0,(10)
OLDSEN,Tênis Lançamento Original Confortável Corrida Esportivo,63,90,6,21,4.8,(10)
,Tênis Chuky Linha Eco Nylon Espumado Ranclafe,159,90,144,,4.9,(18)
,Tênis Chuky Linha Eco 02 Nylon Espumado Ranclafe,159,90,144,,,
,Tenis Masculino Esportivo Corrida Treino Ultraleve Refletivo,147,70,36,92,,
MIZUNO,Tênis Mizuno Masculino Beta Lançamento!,369,98,177,59,4.3,(245)
,3 Pares Tênis Esportivo Tenis Masculino Leve E Macio Frete,169,90,33,98,4.3,(103)
,Tênis Meia Masculino E Feminino Sem Cadarço Confortável,81,90,7,96,4.8,(126)
BAD FISH,Tênis Adventure Caminhada Academia Trail Trekking Air Mesh,199,49,19,39,4.7,(170)
OLYMPIKUS,Tenis Esportivo Masculino Olympikus Rua Corrida,275,56,30,,,
DM DAMANDO,Combo 3 Pares Tenis Esportivo Masculino Caminhada + Relógio,209,90,34,98,4.0,(9)
UNDER ARMOUR,Tênis Under Armour Spawn 3 Preto,349,90,34,99,4.7,(304)
,"Tênis Masculino Olk Academia, Caminhada, Dia A Dia, Corrida",114,90,38,30,4.6,(9)
OLDSEN,Kit 2 Tenis Masculino Unissex Botinha Casual Academia Urbano,179,90,17,49,5.0,(1)
,Kit 2 Tênis Masculino Respiral Conforto Para Seus Pés Brinde,105,53,10,26,3.7,(3)
MIZUNO,Mizuno Wave Falcon 4 Masculino Adultos,381,66,240,44,4.8,(191)
,Sapatilha Neoprene Unissex Secagem Rapida Confortavel Top ,53,67,17,,4.6,(200)
